sampleId,country,city,collectionDate,lat,long,season,locality,type,continent,set,nFlies,Prefix_filename,SRA_accession,SRA_experiment,year,yday,stationId,dist_km,Continental_clusters
WO_BIO4_S2_140730,US,Wooster,2013-07-04,40.78,-81.93,Summer,WO_BIO4,Pooled,North America,AndyLab_genome,5,Pool15_140730,SRR3190085,SRX1602096,2013,185,USWOH0002,NA,1.Nort_America
WO_BIO4_S3_140711,US,Wooster,2013-07-06,40.78,-81.93,Summer,WO_BIO4,Pooled,North America,AndyLab_genome,5,Pool16_140711,SRR3190086,SRX1602097,2013,187,USWOH0002,NA,1.Nort_America
WO_BIO4_S3_140722,US,Wooster,2013-07-06,40.78,-81.93,Summer,WO_BIO4,Pooled,North America,AndyLab_genome,5,Pool16_140722,SRR3190086,SRX1602097,2013,187,USWOH0002,NA,1.Nort_America
WO_BIO4_S3_140725,US,Wooster,2013-07-06,40.78,-81.93,Summer,WO_BIO4,Pooled,North America,AndyLab_genome,5,Pool16_140725,SRR3190086,SRX1602097,2013,187,USWOH0002,NA,1.Nort_America
WO_BIO4_S3_140730,US,Wooster,2013-07-06,40.78,-81.93,Summer,WO_BIO4,Pooled,North America,AndyLab_genome,5,Pool16_140730,SRR3190086,SRX1602097,2013,187,USWOH0002,NA,1.Nort_America
WI_BIO1_S1_140711,US,Arlington,2013-08-25,43.34,-89.41,Summer,WI_BIO1,Pooled,North America,AndyLab_genome,5,Pool17_140711,SRR3190078,SRX1602089,2013,237,USAWI0001,NA,1.Nort_America
WI_BIO1_S1_140722,US,Arlington,2013-08-25,43.34,-89.41,Summer,WI_BIO1,Pooled,North America,AndyLab_genome,5,Pool17_140722,SRR3190078,SRX1602089,2013,237,USAWI0001,NA,1.Nort_America
WI_BIO1_S1_140725,US,Arlington,2013-08-25,43.34,-89.41,Summer,WI_BIO1,Pooled,North America,AndyLab_genome,5,Pool17_140725,SRR3190078,SRX1602089,2013,237,USAWI0001,NA,1.Nort_America
WI_BIO1_S1_140730,US,Arlington,2013-08-25,43.34,-89.41,Summer,WI_BIO1,Pooled,North America,AndyLab_genome,5,Pool17_140730,SRR3190078,SRX1602089,2013,237,USAWI0001,NA,1.Nort_America
WI_BIO1_S2_140711,US,Arlington,2013-08-26,43.34,-89.41,Summer,WI_BIO1,Pooled,North America,AndyLab_genome,5,Pool18_140711,SRR3190079,SRX1602090,2013,238,USAWI0001,NA,1.Nort_America
WI_BIO1_S2_140722,US,Arlington,2013-08-26,43.34,-89.41,Summer,WI_BIO1,Pooled,North America,AndyLab_genome,5,Pool18_140722,SRR3190079,SRX1602090,2013,238,USAWI0001,NA,1.Nort_America
WI_BIO1_S2_140725,US,Arlington,2013-08-26,43.34,-89.41,Summer,WI_BIO1,Pooled,North America,AndyLab_genome,5,Pool18_140725,SRR3190079,SRX1602090,2013,238,USAWI0001,NA,1.Nort_America
WI_BIO1_S2_140730,US,Arlington,2013-08-26,43.34,-89.41,Summer,WI_BIO1,Pooled,North America,AndyLab_genome,5,Pool18_140730,SRR3190079,SRX1602090,2013,238,USAWI0001,NA,1.Nort_America
WI_BIO1_S2_AddRun,US,Arlington,2013-08-26,43.34,-89.41,Summer,WI_BIO1,Pooled,North America,AndyLab_genome,5,Pool18_AddRun,SRR3190079,SRX1602090,2013,238,USAWI0001,NA,1.Nort_America
WI_BIO4_S1_140711,US,Arlington,2013-08-30,43.34,-89.41,Summer,WI_BIO4,Pooled,North America,AndyLab_genome,5,Pool19_140711,SRR3190080,SRX1602091,2013,242,USAWI0001,NA,1.Nort_America
